ANDALUCÍA	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	897.0	895.0	-0.2	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	559.0	449.0	-19.7	
    6.-TRÁFICO DE DROGAS (EU)	75.0	96.0	28.0	
    7.-DAÑOS	2054.0	1781.0	-13.3	
    8.-HURTOS	7777.0	7202.0	-7.4	
- Municipio de Alcalá de Guadaíra	
    1.-DELITOS Y FALTAS (EU)	1193.0	923.0	-22.6	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	14.0	7.0	-50.0	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	57.0	71.0	24.6	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	30.0	21.0	-30.0	
    6.-TRÁFICO DE DROGAS (EU)	6.0	2.0	-66.7	
    7.-DAÑOS	113.0	98.0	-13.3	
    8.-HURTOS	345.0	317.0	-8.1	
- Municipio de Dos Hermanas	
    1.-DELITOS Y FALTAS (EU)	1300.0	1157.0	-11.0	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	1.0	100.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	31.0	21.0	-32.3	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	33.0	37.0	12.1	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	33.0	31.0	-6.1	
    6.-TRÁFICO DE DROGAS (EU)	2.0	8.0	300.0	
    7.-DAÑOS	175.0	144.0	-17.7	
    8.-HURTOS	449.0	399.0	-11.1	
- Municipio de Sevilla	
    1.-DELITOS Y FALTAS (EU)	11848.0	10755.0	-9.2	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	2.0	100.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	446.0	459.0	2.9	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	247.0	226.0	-8.5	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	327.0	275.0	-15.9	
    6.-TRÁFICO DE DROGAS (EU)	32.0	41.0	28.1	
    7.-DAÑOS	1034.0	950.0	-8.1	
    8.-HURTOS	4852.0	4766.0	-1.8	
- Municipio de Utrera	
    1.-DELITOS Y FALTAS (EU)	838.0	529.0	-36.9	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	8.0	7.0	-12.5	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	57.0	17.0	-70.2	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	19.0	11.0	-42.1	
    6.-TRÁFICO DE DROGAS (EU)	2.0	1.0	-50.0	
    7.-DAÑOS	87.0	54.0	-37.9	
    8.-HURTOS	259.0	151.0	-41.7	
ARAGÓN	
    1.-DELITOS Y FALTAS (EU)	9502.0	9448.0	-0.6	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	4.0	3.0	-25.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	184.0	243.0	32.1	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	454.0	459.0	1.1	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	79.0	80.0	1.3	
    6.-TRÁFICO DE DROGAS (EU)	64.0	48.0	-25.0	
    7.-DAÑOS	1355.0	1355.0	0.0	
    8.-HURTOS	2999.0	2952.0	-1.6	
Provincia de HUESCA	
    1.-DELITOS Y FALTAS (EU)	1347.0	1274.0	-5.4	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	6.0	18.0	200.0	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	47.0	61.0	29.8	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	12.0	13.0	8.3	
    6.-TRÁFICO DE DROGAS (EU)	9.0	8.0	-11.1	
    7.-DAÑOS	174.0	193.0	10.9	
    8.-HURTOS	392.0	336.0	-14.3	
- Municipio de Huesca	
    1.-DELITOS Y FALTAS (EU)	265.0	263.0	-0.8	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	3.0	3.0	0.0	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	7.0	3.0	-57.1	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	1.0	2.0	100.0	
    6.-TRÁFICO DE DROGAS (EU)	3.0	3.0	0.0	
    7.-DAÑOS	40.0	35.0	-12.5	
    8.-HURTOS	76.0	92.0	21.1	
Provincia de TERUEL	
    1.-DELITOS Y FALTAS (EU)	586.0	536.0	-8.5	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	2.0	0.0	-100.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	8.0	5.0	-37.5	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	46.0	35.0	-23.9	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	5.0	2.0	-60.0	
